data,distrito,concelho,confirmados,populacao,densidade_populacional
2020-11-11,SANTARÉM,ABRANTES,10,35130,49.15
2020-11-11,AVEIRO,ÁGUEDA,15,46075,137.43
2020-11-11,GUARDA,AGUIAR DA BEIRA,1,4652,22.5
2020-11-11,ÉVORA,ALANDROAL,0,4992,9.2
2020-11-11,AVEIRO,ALBERGARIA-A-VELHA,8,24144,152.02
2020-11-11,FARO,ALBUFEIRA,8,41528,295.24
2020-11-11,SETÚBAL,ALCÁCER DO SAL,2,11659,7.77
2020-11-11,SANTARÉM,ALCANENA,3,12809,100.6
2020-11-11,LEIRIA,ALCOBAÇA,7,53555,131.22
2020-11-11,SETÚBAL,ALCOCHETE,3,19787,154.15
2020-11-11,FARO,ALCOUTIM,0,2159,3.75
2020-11-11,LISBOA,ALENQUER,13,44052,144.8
2020-11-11,BRAGANÇA,ALFÂNDEGA DA FÉ,2,4550,14.13
2020-11-11,VILA REAL,ALIJÓ,4,10625,35.7
2020-11-11,FARO,ALJEZUR,0,5594,17.29
2020-11-11,BEJA,ALJUSTREL,1,8247,17.99
2020-11-11,SETÚBAL,ALMADA,59,169039,2414.5
2020-11-11,GUARDA,ALMEIDA,1,5830,11.26
2020-11-11,SANTARÉM,ALMEIRIM,6,22546,101.5
2020-11-11,BEJA,ALMODÔVAR,0,6725,8.65
2020-11-11,SANTARÉM,ALPIARÇA,0,7059,74.02
2020-11-11,PORTALEGRE,ALTER DO CHÃO,0,3165,8.74
2020-11-11,LEIRIA,ALVAIÁZERE,1,6597,41.11
2020-11-11,BEJA,ALVITO,0,2477,9.35
2020-11-11,LISBOA,AMADORA,55,184106,7742.05
2020-11-11,PORTO,AMARANTE,39,53193,176.53
2020-11-11,BRAGA,AMARES,10,18129,221.22
2020-11-11,AVEIRO,ANADIA,5,27258,125.83
2020-11-11,AÇORES,ANGRA DO HEROÍSMO,1,33807,141.45
2020-11-11,LEIRIA,ANSIÃO,2,12039,68.37
2020-11-11,VIANA DO CASTELO,ARCOS DE VALDEVEZ,5,20926,46.75
2020-11-11,COIMBRA,ARGANIL,3,11014,33.09
2020-11-11,VISEU,ARMAMAR,1,5769,49.21
2020-11-11,AVEIRO,AROUCA,11,20720,62.96
2020-11-11,ÉVORA,ARRAIOLOS,1,6928,10.13
2020-11-11,PORTALEGRE,ARRONCHES,1,2820,8.96
2020-11-11,LISBOA,ARRUDA DOS VINHOS,4,15412,197.69
